Time,Rotation,Torque,Folder,Theta,TestTorque,DR
16.88,-3.599556684494,-4.36462610960007,75-255,255,4.36462610960007,-0.0693213194608697
16.92,-3.5601550340652,-4.2953047901392,75-255,255,4.2953047901392,-0.10950230062008
16.96,-3.5150617361069,-4.18580248951912,75-255,255,4.18580248951912,-0.09858086705208
17,-3.4700435400009,-4.08722162246704,75-255,255,4.08722162246704,-0.0960152596235302
17.04,-3.4256637096405,-3.99120636284351,75-255,255,3.99120636284351,-0.0894043594598699
17.08,-3.3821260929107,-3.90180200338364,75-255,255,3.90180200338364,-0.0810395926237102
17.12,-3.3408683538437,-3.82076241075993,75-255,255,3.82076241075993,-0.0907111912965797
17.16,-3.2958179712295,-3.73005121946335,75-255,255,3.73005121946335,-0.0859417021274602
17.2,-3.2590395212173,-3.64410951733589,75-255,255,3.64410951733589,-0.1093290746212
17.24,-3.2124441862106,-3.53478044271469,75-255,255,3.53478044271469,-0.0787291675805997
17.28,-3.1708699464798,-3.45605127513409,75-255,255,3.45605127513409,-0.0860482454300002
17.32,-3.1258732080459,-3.37000302970409,75-255,255,3.37000302970409,-0.0939372926950401
17.36,-3.078693151474,-3.27606573700905,75-255,255,3.27606573700905,-0.0684730708599099
17.4,-3.0376714468002,-3.20759266614914,75-255,255,3.20759266614914,-0.0810563564300497
17.44,-2.9925084114075,-3.12653630971909,75-255,255,3.12653630971909,-0.07916036993266
17.48,-2.9520231485367,-3.04737593978643,75-255,255,3.04737593978643,-0.0908829271793303
17.52,-2.9066026210785,-2.9564930126071,75-255,255,2.9564930126071,-0.0755697488784799
17.56,-2.8599804639816,-2.88092326372862,75-255,255,2.88092326372862,-0.05506835877895
17.6,-2.823480963707,-2.82585490494967,75-255,255,2.82585490494967,-0.10093562304974
17.64,-2.7782535552978,-2.72491928189993,75-255,255,2.72491928189993,-0.07955729961395
17.68,-2.7316099405289,-2.64536198228598,75-255,255,2.64536198228598,-0.0678282231092497
17.72,-2.6885765790939,-2.57753375917673,75-255,255,2.57753375917673,-0.0622363761067404
17.76,-2.6448565721512,-2.51529738306999,75-255,255,2.51529738306999,-0.0835973769426297
17.8,-2.6056319475174,-2.43170000612736,75-255,255,2.43170000612736,-0.0686077401042002
17.84,-2.5605279207229,-2.36309226602316,75-255,255,2.36309226602316,-0.0922949984669699
17.88,-2.5180900096893,-2.27079726755619,75-255,255,2.27079726755619,-0.0674676150083502
17.92,-2.4768054485321,-2.20332965254784,75-255,255,2.20332965254784,-0.0713018700480497
17.96,-2.4348932504654,-2.13202778249979,75-255,255,2.13202778249979,-0.0595584511756901
18,-2.3958671092987,-2.0724693313241,75-255,255,2.0724693313241,-0.0957343727350199
18.04,-2.3519217967987,-1.97673495858908,75-255,255,1.97673495858908,-0.0657968223095
18.08,-2.3075473308563,-1.91093813627958,75-255,255,1.91093813627958,-0.0528713688254301
18.12,-2.2660964727402,-1.85806676745415,75-255,255,1.85806676745415,-0.0849995762109801
18.16,-2.2234600782394,-1.77306719124317,75-255,255,1.77306719124317,-0.0780176371335999
18.2,-2.1840798854828,-1.69504955410957,75-255,255,1.69504955410957,-0.06802100688219
18.24,-2.1429884433746,-1.62702854722738,75-255,255,1.62702854722738,-0.0630373135209099
18.28,-2.1088761091232,-1.56399123370647,75-255,255,1.56399123370647,-0.0848727300763101
18.32,-2.0689326524734,-1.47911850363016,75-255,255,1.47911850363016,-0.0503148883581099
18.36,-2.0336455106735,-1.42880361527205,75-255,255,1.42880361527205,-0.07268302142621
18.4,-1.9921946525574,-1.35612059384584,75-255,255,1.35612059384584,-0.0580221414566
18.44,-1.9546115398407,-1.29809845238924,75-255,255,1.29809845238924,-0.0733867287635801
18.48,-1.9196838140487,-1.22471172362566,75-255,255,1.22471172362566,-0.04997048527002
18.52,-1.8806362152099,-1.17474123835564,75-255,255,1.17474123835564,-0.06752396002412
18.56,-1.8423664569855,-1.10721727833152,75-255,255,1.10721727833152,-0.0529974699020399
18.6,-1.803748011589,-1.05421980842948,75-255,255,1.05421980842948,-0.0532616861164601
18.64,-1.767366528511,-1.00095812231302,75-255,255,1.00095812231302,-0.049642473459241
18.68,-1.7281955480575,-0.951315648853779,75-255,255,0.951315648853779,-0.0599316321313379
18.72,-1.6936057806015,-0.891384016722441,75-255,255,0.891384016722441,-0.0405372120440011
18.76,-1.652460694313,-0.85084680467844,75-255,255,0.85084680467844,-0.056034792214632
18.8,-1.6116321086883,-0.794812012463808,75-255,255,0.794812012463808,-0.0615260563790799
18.84,-1.5741991996765,-0.733285956084728,75-255,255,0.733285956084728,-0.050278380513191
18.88,-1.5329790115356,-0.683007575571537,75-255,255,0.683007575571537,-0.059815030544996
18.92,-1.4965814352035,-0.623192545026541,75-255,255,0.623192545026541,-0.056356936693192
18.96,-1.4609456062317,-0.566835608333349,75-255,255,0.566835608333349,-0.052095483988523
19,-1.4171558618545,-0.514740124344826,75-255,255,0.514740124344826,-0.0656968913972379
19.04,-1.3817721605301,-0.449043232947588,75-255,255,0.449043232947588,-0.047061871737242
19.08,-1.3433736562729,-0.401981361210346,75-255,255,0.401981361210346,-0.047807767987251
19.12,-1.3091647624969,-0.354173593223095,75-255,255,0.354173593223095,-0.058514345437288
19.16,-1.270267367363,-0.295659247785807,75-255,255,0.295659247785807,-0.036250799894333
19.2,-1.2368953227997,-0.259408447891474,75-255,255,0.259408447891474,-0.056848395615816
19.24,-1.2006640434265,-0.202560052275658,75-255,255,0.202560052275658,-0.034158863127232
19.28,-1.1651569604873,-0.168401189148426,75-255,255,0.168401189148426,-0.041672773659229
19.32,-1.1301219463348,-0.126728415489197,75-255,255,0.126728415489197,-0.0287190079689028
19.36,-1.095929145813,-0.0980094075202942,75-255,255,0.0980094075202942,-0.0766795128583908
19.4,-1.0587161779404,-0.0213298946619034,75-255,255,0.0213298946619034,0.0152153894305229
19.44,-1.0151410102844,0.0365452840924263,75-255,255,0.0365452840924263,0.0348176807165146
19.48,-0.975793004035904,0.0713629648089409,75-255,255,0.0713629648089409,0.0403768382966521
19.52,-0.932646989822398,0.111739803105593,75-255,255,0.111739803105593,0.041164644062519
19.56,-0.894173383712801,0.152904447168112,75-255,255,0.152904447168112,0.048377923667431
19.6,-0.849412679672202,0.201282370835543,75-255,255,0.201282370835543,0.051363557577133
19.64,-0.805408358573903,0.252645928412676,75-255,255,0.252645928412676,0.029461644589901
19.68,-0.769697427749602,0.282107573002577,75-255,255,0.282107573002577,0.037396233528852
19.72,-0.725237131118799,0.319503806531429,75-255,255,0.319503806531429,0.034483522176743
19.76,-0.6961619853973,0.353987328708172,75-255,255,0.353987328708172,0.047837849706411
19.8,-0.6509560346603,0.401825178414583,75-255,255,0.401825178414583,0.045248307287693
19.84,-0.612541437149002,0.447073485702276,75-255,255,0.447073485702276,0.055183097720146
19.88,-0.570049881935102,0.502256583422422,75-255,255,0.502256583422422,0.046011060476304
19.92,-0.536162853240899,0.548267643898726,75-255,255,0.548267643898726,0.026004295796155
19.96,-0.500038862228404,0.574271939694881,75-255,255,0.574271939694881,0.066363625228405
20,-0.460454821586598,0.640635564923286,75-255,255,0.640635564923286,0.048802793025971
20.04,-0.423086285591101,0.689438357949257,75-255,255,0.689438357949257,0.048768240958452
20.08,-0.385755300521804,0.738206598907709,75-255,255,0.738206598907709,0.042402651160956
20.12,-0.3466540575027,0.780609250068665,75-255,255,0.780609250068665,0.048649124801158
20.16,-0.312418341636604,0.829258374869823,75-255,255,0.829258374869823,0.051003601402045
20.2,-0.276004672050501,0.880261976271868,75-255,255,0.880261976271868,0.0578687526285651
20.24,-0.238668322563203,0.938130728900433,75-255,255,0.938130728900433,0.0369451008737079
20.28,-0.199679732322704,0.975075829774141,75-255,255,0.975075829774141,0.0348529778420891
20.32,-0.166034102439898,1.00992880761623,75-255,255,1.00992880761623,-0.00356873497366994
20.36,-0.143862962722803,1.00636007264256,75-255,255,1.00636007264256,0.00598514452576993
20.4,-0.122024416923498,1.01234521716833,75-255,255,1.01234521716833,0.0119937583804099
20.44,-0.1000303030014,1.02433897554874,75-255,255,1.02433897554874,-0.00568218529223996
20.48,-0.0820004940032995,1.0186567902565,75-255,255,1.0186567902565,-0.0348547473549841
20.52,-0.0802946090697993,0.983802042901516,75-255,255,0.983802042901516,0.0185306183993841
20.56,-0.0642764568329035,1.0023326613009,75-255,255,1.0023326613009,-0.0214401632547401
20.6,-0.0559133291244045,0.98089249804616,75-255,255,0.98089249804616,0
0,0,0.00655492767691612,90-270,90,0.00655492767691612,0.129819381982088
0.28,0.0272834300995015,0.136374309659004,90-270,90,0.136374309659004,0.110992696136236
0.36,0.0698071718216013,0.24736700579524,90-270,90,0.24736700579524,0.138243474066258
0.44,0.114326477050703,0.385610479861498,90-270,90,0.385610479861498,0.189866404980421
0.52,0.173131227493201,0.575476884841919,90-270,90,0.575476884841919,0.171167775988579
0.6,0.237949490547102,0.746644660830498,90-270,90,0.746644660830498,0.102634355425834
0.64,0.283396840095502,0.849279016256332,90-270,90,0.849279016256332,0.108528975397349
0.68,0.322068929672202,0.957807991653681,90-270,90,0.957807991653681,0.129795260727409
0.72,0.3674411773681,1.08760325238109,90-270,90,1.08760325238109,0.19132178276777
0.8,0.465792417526199,1.27892503514886,90-270,90,1.27892503514886,0.18097599968314
0.88,0.559760928154002,1.459901034832,90-270,90,1.459901034832,0.10718554258347
0.92,0.6147462129593,1.56708657741547,90-270,90,1.56708657741547,0.15555527061224
1,0.717667937278701,1.72264184802771,90-270,90,1.72264184802771,0.15926230698824
1.08,0.8246237039566,1.88190415501595,90-270,90,1.88190415501595,0.0604936853051099
1.16,0.931858420372002,1.94239784032106,90-270,90,1.94239784032106,0.13750176876784
1.2,0.9920847415924,2.0798996090889,90-270,90,2.0798996090889,0.11236071586609
1.28,1.0597836971283,2.19226032495499,90-270,90,2.19226032495499,0.132467597723
1.36,1.1392575502395,2.32472792267799,90-270,90,2.32472792267799,0.19406750798226
1.44,1.2276524305343,2.51879543066025,90-270,90,2.51879543066025,0.13100579380989
1.52,1.318182349205,2.64980122447014,90-270,90,2.64980122447014,0.12714024633169
1.6,1.4145648479461,2.77694147080183,90-270,90,2.77694147080183,0.13515707105398
1.68,1.5128999948501,2.91209854185581,90-270,90,2.91209854185581,0.10074395686388
1.72,1.5557670593261,3.01284249871969,90-270,90,3.01284249871969,0.13541299849749
1.8,1.6491830348968,3.14825549721718,90-270,90,3.14825549721718,0.12047179043293
1.88,1.7369878292083,3.26872728765011,90-270,90,3.26872728765011,0.12247897684574
1.92,1.7858576774597,3.39120626449585,90-270,90,3.39120626449585,0.13123266398907
2,1.8819719552993,3.52243892848492,90-270,90,3.52243892848492,0.13507567346096
2.08,1.9745832681656,3.65751460194588,90-270,90,3.65751460194588,0.1030683517456
2.16,2.0635414123535,3.76058295369148,90-270,90,3.76058295369148,0.10312795639038
2.24,2.1468883752822,3.86371091008186,90-270,90,3.86371091008186,0.10758526623249
2.32,2.2313565015792,3.97129617631435,90-270,90,3.97129617631435,0.14347992837429
2.4,2.3202502727508,4.11477610468864,90-270,90,4.11477610468864,0.14618784189225
2.48,2.4058663845062,4.26096394658089,90-270,90,4.26096394658089,0.161784887313839
2.56,2.5114274024963,4.42274883389473,90-270,90,4.42274883389473,0.16746558248997
2.64,2.6084321737289,4.5902144163847,90-270,90,4.5902144163847,0.137182325124741
2.72,2.7014994621276,4.72739674150944,90-270,90,4.72739674150944,0.13524480164051
2.8,2.7950924634933,4.86264154314995,90-270,90,4.86264154314995,0.10643228888511
2.88,2.8821086883545,4.96907383203506,90-270,90,4.96907383203506,0.14746077358723
2.96,2.9725635051727,5.11653460562229,90-270,90,5.11653460562229,0.11150278151035
3.04,3.0665159225464,5.22803738713264,90-270,90,5.22803738713264,0.13315081596375
3.12,3.1514829397201,5.36118820309639,90-270,90,5.36118820309639,0.105396658182141
3.2,3.2379627227783,5.46658486127853,90-270,90,5.46658486127853,0.116527825593949
3.28,3.3262395858764,5.58311268687248,90-270,90,5.58311268687248,0.11451728641987
3.36,3.4180569648742,5.69762997329235,90-270,90,5.69762997329235,0.14443658292294
3.44,3.5091984272003,5.84206655621529,90-270,90,5.84206655621529,0.13906843960285
3.56,3.6398273706436,5.98113499581814,90-270,90,5.98113499581814,0.18534213304519
3.68,3.76345038414,6.16647712886333,90-270,90,6.16647712886333,0.138297304511069
3.76,3.8517218828201,6.3047744333744,90-270,90,6.3047744333744,0.10242611169816
3.84,3.9286208152771,6.40720054507256,90-270,90,6.40720054507256,0.11171624064445
3.92,4.0147089958191,6.51891678571701,90-270,90,6.51891678571701,0.118098407983781
4,4.1055554151535,6.63701519370079,90-270,90,6.63701519370079,0.1465268433094
4.12,4.2341458797454,6.78354203701019,90-270,90,6.78354203701019,0.11725276708603
4.24,4.3541210889816,6.90079480409622,90-270,90,6.90079480409622,0.13246163725853
4.32,4.436314702034,7.03325644135475,90-270,90,7.03325644135475,0.10311454534531
4.4,4.5204985141754,7.13637098670006,90-270,90,7.13637098670006,0.10461807250976
4.48,4.5980250835418,7.24098905920982,90-270,90,7.24098905920982,0.12790709733963
4.56,4.6905666589737,7.36889615654945,90-270,90,7.36889615654945,0.13146400451661
4.68,4.8181164264679,7.50036016106606,90-270,90,7.50036016106606,0.0849507749080605
4.76,4.9010717868805,7.58531093597412,90-270,90,7.58531093597412,0.0433869659900701
4.8,4.9492979049682,7.62869790196419,90-270,90,7.62869790196419,0.12862384319305
4.92,5.0691550970077,7.75732174515724,90-270,90,7.75732174515724,0.13186857104302
5.04,5.1906216144561,7.88919031620026,90-270,90,7.88919031620026,0.128099322319031
5.12,5.2807492017746,8.01728963851929,90-270,90,8.01728963851929,0.10661035776138
5.2,5.3580021858215,8.12389999628067,90-270,90,8.12389999628067,0.13401433825493
5.28,5.4423576593399,8.2579143345356,90-270,90,8.2579143345356,0.0649690628051687
5.32,5.4890978336334,8.32288339734077,90-270,90,8.32288339734077,-0.0259838998317701
5.4,5.540724992752,8.296899497509,90-270,90,8.296899497509,-0.0126302242278999
5.44,5.5612760782241,8.2842692732811,90-270,90,8.2842692732811,-0.108639895915989
5.56,5.5854749679565,8.17562937736511,90-270,90,8.17562937736511,0
5.56,5.5854749679565,8.17562937736511,90-270,90,8.17562937736511,-0.0577181577682513
5.6,5.5854749679565,8.11791121959686,90-270,90,8.11791121959686,-0.0612899661064095
5.64,5.5854749679565,8.05662125349045,90-270,90,8.05662125349045,-0.0808320939540899
5.68,5.5854749679565,7.97578915953636,90-270,90,7.97578915953636,-0.0778026878833797
5.72,5.5730241537094,7.89798647165298,90-270,90,7.89798647165298,-0.0482261180877606
5.76,5.561608672142,7.84976035356522,90-270,90,7.84976035356522,-0.161004811525349
5.8,5.5364280939102,7.68875554203987,90-270,90,7.68875554203987,-0.06230100989342
5.84,5.519642829895,7.62645453214645,90-270,90,7.62645453214645,-0.11552199721336
5.88,5.4981368780136,7.51093253493309,90-270,90,7.51093253493309,-0.11408105492592
5.92,5.4695874452591,7.39685148000717,90-270,90,7.39685148000717,-0.11569559574127
5.96,5.4434949159622,7.2811558842659,90-270,90,7.2811558842659,-0.14059543609619
6,5.4092001914978,7.14056044816971,90-270,90,7.14056044816971,-0.15995502471924
6.04,5.362599492073,6.98060542345047,90-270,90,6.98060542345047,-0.11344477534294
6.08,5.3274303674698,6.86716064810753,90-270,90,6.86716064810753,-0.175396353006359
6.12,5.2810978889465,6.69176429510117,90-270,90,6.69176429510117,-0.129592418670661
6.16,5.2296048402786,6.56217187643051,90-270,90,6.56217187643051,-0.15289187431335
6.2,5.183207988739,6.40928000211716,90-270,90,6.40928000211716,-0.145746022462849
6.24,5.1327127218246,6.26353397965431,90-270,90,6.26353397965431,-0.110566243529321
6.28,5.0830221176147,6.15296773612499,90-270,90,6.15296773612499,-0.0998988747596696
6.32,5.0359117984771,6.05306886136532,90-270,90,6.05306886136532,-0.12432225048542
6.36,4.989954829216,5.9287466108799,90-270,90,5.9287466108799,-0.1074280589819
6.4,4.9420237541198,5.821318551898,90-270,90,5.821318551898,-0.0839769840240496
6.44,4.8975044488906,5.73734156787395,90-270,90,5.73734156787395,-0.122630596160881
6.48,4.8483073711395,5.61471097171307,90-270,90,5.61471097171307,-0.10174810886383
6.52,4.8036915063858,5.51296286284924,90-270,90,5.51296286284924,-0.09906962513924
6.56,4.7605186700821,5.41389323771,90-270,90,5.41389323771,-0.0976737588644001
6.6,4.7197490930557,5.3162194788456,90-270,90,5.3162194788456,-0.1127976924181
6.64,4.6717536449432,5.2034217864275,90-270,90,5.2034217864275,-0.0909723341464996
6.68,4.629036784172,5.112449452281,90-270,90,5.112449452281,-0.11433400213719
6.72,4.5839595794677,4.99811545014381,90-270,90,4.99811545014381,-0.12845434248447
6.76,4.5352452993393,4.86966110765934,90-270,90,4.86966110765934,-0.11117346584797
6.8,4.4893044233322,4.75848764181137,90-270,90,4.75848764181137,-0.0976398587226903
6.84,4.4423121213913,4.66084778308868,90-270,90,4.66084778308868,-0.0883907079696593
6.88,4.3974334001541,4.57245707511902,90-270,90,4.57245707511902,-0.114619731903081
6.92,4.3522971868515,4.45783734321594,90-270,90,4.45783734321594,-0.10055378079414
6.96,4.3023061752319,4.3572835624218,90-270,90,4.3572835624218,-0.0799402594566399
7,4.2588919401168,4.27734330296516,90-270,90,4.27734330296516,-0.0940583646297402
7.04,4.2110466957092,4.18328493833542,90-270,90,4.18328493833542,-0.0824071466922796
7.08,4.1635125875473,4.10087779164314,90-270,90,4.10087779164314,-0.0872753560542998
7.12,4.1186553239822,4.01360243558884,90-270,90,4.01360243558884,-0.0953171402216002
7.16,4.074849486351,3.91828529536724,90-270,90,3.91828529536724,-0.0956580042839001
