Time,Rotation,Torque,Folder,Theta,TestTorque,DR
33.56,3.3326715230942,0.31361049041152,165-345,165,0,0
33.6,3.2862156629563,0.302969757467508,165-345,165,0,0
33.64,3.2422864437103,0.289630610495806,165-345,165,0,0
33.68,3.1995105743408,0.281241443008184,165-345,165,0,0
33.72,3.1566005945206,0.275783240795136,165-345,165,0,0
33.76,3.1167161464691,0.265771057456732,165-345,165,0,0
33.8,3.0569940805435,0.247402209788561,165-345,165,0,0
33.84,3.0028241872788,0.233692675828934,165-345,165,0,0
33.88,2.9571515321732,0.227817427366972,165-345,165,0,0
33.92,2.9217034578324,0.220494158565998,165-345,165,0,0
33.96,2.8803062438965,0.209516100585461,165-345,165,0,0
34,2.836629152298,0.198677182197571,165-345,165,0,0
34.04,2.7903020381928,0.190520193427801,165-345,165,0,0
34.08,2.7485024929047,0.183933600783348,165-345,165,0,0
34.12,2.7059894800186,0.173497665673494,165-345,165,0,0
34.16,2.6647692918778,0.167591031640768,165-345,165,0,0
34.2,2.6274383068085,0.161250121891499,165-345,165,0,0
34.24,2.5835251808167,0.153809506446123,165-345,165,0,0
34.28,2.5443917512894,0.146774481981993,165-345,165,0,0
34.32,2.4971258640289,0.133677199482918,165-345,165,0,0
34.36,2.4485456943512,0.123913120478392,165-345,165,0,0
34.4,2.4068909883499,0.11540474370122,165-345,165,0,0
34.44,2.36871778965,0.107169151306152,165-345,165,0,0
34.48,2.32801258564,0.0991843640804291,165-345,165,0,0
34.52,2.2986102104187,0.0915140844881535,165-345,165,0,0
34.56,2.2474926710129,0.0817327760159969,165-345,165,0,0
34.6,2.1995723247528,0.0703598372638226,165-345,165,0,0
34.64,2.1548169851303,0.0618378631770611,165-345,165,0,0
34.68,2.1194225549698,0.0517856329679489,165-345,165,0,0
34.72,2.0711320638657,0.0422959215939045,165-345,165,0,0
34.76,2.024547457695,0.0315925106406212,165-345,165,0,0
34.8,1.9865030050278,0.0230457633733749,165-345,165,0,0
34.84,1.9491827487946,0.0147698447108269,165-345,165,0,0
34.88,1.9071310758591,0.00350084155797958,165-345,165,0,0
34.92,1.8599832057953,-0.00601084902882576,165-345,165,0,0
34.96,1.8124920129776,-0.01897057518363,165-345,165,0,0
35,1.7648828029633,-0.0287552364170551,165-345,165,0,0
35.04,1.7259532213211,-0.0393359921872616,165-345,165,0,0
35.08,1.6816484928131,-0.049413088709116,165-345,165,0,0
35.12,1.647219657898,-0.053024385124445,165-345,165,0,0
35.16,1.6179567575455,-0.0594904646277428,165-345,165,0,0
35.2,1.5802556276322,-0.0657127238810062,165-345,165,0,0
35.24,1.5334403514862,-0.0825501047074795,165-345,165,0,0
35.28,1.4911687374115,-0.0924667343497276,165-345,165,0,0
35.32,1.4478778839112,-0.100971385836601,165-345,165,0,0
35.36,1.4127624034882,-0.106204766780138,165-345,165,0,0
35.4,1.3775879144669,-0.113225728273392,165-345,165,0,0
35.44,1.347348690033,-0.118683185428381,165-345,165,0,0
35.48,1.3099318742752,-0.128065701574087,165-345,165,0,0
35.52,1.2698650360108,-0.134908966720104,165-345,165,0,0
35.56,1.2344062328339,-0.138737075030804,165-345,165,0,0
35.6,1.2051379680634,-0.145796872675419,165-345,165,0,0
35.64,1.162936091423,-0.158789847046137,165-345,165,0,0
35.68,1.1235827207565,-0.171453133225441,165-345,165,0,0
35.72,1.080436706543,-0.178803317248821,165-345,165,0,0
35.76,1.0429018735886,-0.188855547457933,165-345,165,0,0
35.8,0.992358326911898,-0.201720464974642,165-345,165,0,0
35.84,0.947624444961598,-0.217524822801352,165-345,165,0,0
35.88,0.902874469757098,-0.228635407984257,165-345,165,0,0
35.92,0.869271755218499,-0.235038436949253,165-345,165,0,0
35.96,0.828641653060899,-0.244505889713764,165-345,165,0,0
36,0.7807856798172,-0.256001297384501,165-345,165,0,0
36.04,0.752702951431299,-0.26370994746685,165-345,165,0,0
36.08,0.696499943733198,-0.284529291093349,165-345,165,0,0
36.12,0.6441861391068,-0.292585417628288,165-345,165,0,0
36.16,0.607885122299198,-0.300354417413473,165-345,165,0,0
36.2,0.567791461944598,-0.303704012185335,165-345,165,0,0
36.24,0.540202260017399,-0.31520901247859,165-345,165,0,0
36.28,0.493177771568298,-0.328807905316353,165-345,165,0,0
36.32,0.4474729299545,-0.342011824250221,165-345,165,0,0
36.36,0.405834317207297,-0.349595211446285,165-345,165,0,0
36.4,0.3627687692642,-0.361389108002186,165-345,165,0,0
36.44,0.3175628185272,-0.37881676107645,165-345,165,0,0
36.48,0.273022055625898,-0.387328304350376,165-345,165,0,0
36.52,0.228239893913297,-0.401424989104271,165-345,165,0,0
36.56,0.183489918708798,-0.414155144244432,165-345,165,0,0
36.6,0.137114524841298,-0.429636333137751,165-345,165,0,0
36.64,0.0918173789977992,-0.444111693650484,165-345,165,0,0
36.68,0.0370198488236007,-0.459378398954868,165-345,165,0,0
36.72,-0.0210821628570024,-0.475281570106745,165-345,345,0,0
36.76,-0.0485962629318024,-0.479704234749079,165-345,345,0,0
36.8,-0.0463807582855011,-0.46982578933239,165-345,345,0,0
36.84,-0.0464183092117025,-0.464935414493084,165-345,345,0,0
36.88,-0.0652849674224996,-0.461727660149336,165-345,345,0,0
36.92,-0.0680530071258012,-0.456105079501867,165-345,345,0,0
36.96,-0.0659286975859992,-0.458427052944899,165-345,345,0,0
37,-0.0659286975859992,-0.450765434652567,165-345,345,0,0
37,-0.0659286975859992,-0.450765434652567,165-345,345,0,0
37.04,-0.0659286975859992,-0.446507520973682,165-345,345,0,0
37.08,-0.0659286975859992,-0.441059004515409,165-345,345,0,0
37.12,-0.0741791725159011,-0.448561459779739,165-345,345,0,0
37.16,-0.0915437936783015,-0.457405112683773,165-345,345,0,0
37.2,-0.1285690069198,-0.467484258115292,165-345,345,0,0
37.24,-0.168491005897501,-0.480676908046007,165-345,345,0,0
37.28,-0.2005809545517,-0.491044297814369,165-345,345,0,0
37.32,-0.231539011001601,-0.503368955105543,165-345,345,0,0
37.36,-0.267974138259902,-0.51549831405282,165-345,345,0,0
37.4,-0.305272936821002,-0.529245566576719,165-345,345,0,0
37.44,-0.347217321395902,-0.542337168008089,165-345,345,0,0
37.48,-0.374833345413201,-0.551135092973709,165-345,345,0,0
37.52,-0.402384996414202,-0.557734724134207,165-345,345,0,0
37.56,-0.4423874616623,-0.573718268424273,165-345,345,0,0
37.6,-0.4847073554992,-0.586116872727871,165-345,345,0,0
37.64,-0.5247259140015,-0.597889255732298,165-345,345,0,0
37.68,-0.566090941429103,-0.612177234143019,165-345,345,0,0
37.72,-0.606946349144003,-0.626216270029545,165-345,345,0,0
37.76,-0.649244785308802,-0.637447834014893,165-345,345,0,0
37.8,-0.694654583930998,-0.651214830577374,165-345,345,0,0
37.84,-0.741164088249199,-0.668230094015598,165-345,345,0,0
37.88,-0.780286788940401,-0.679958704859018,165-345,345,0,0
37.92,-0.8163678646088,-0.690091494470835,165-345,345,0,0
37.96,-0.861600637435899,-0.707583874464035,165-345,345,0,0
38,-0.9050470590591,-0.717700552195311,165-345,345,0,0
38.04,-0.939883589744603,-0.729280803352594,165-345,345,0,0
38.08,-0.981881618499699,-0.740209873765707,165-345,345,0,0
38.12,-1.0234022140503,-0.755915138870478,165-345,345,0,0
38.16,-1.0660600662231,-0.769440084695816,165-345,345,0,0
38.2,-1.1074304580688,-0.781295634806156,165-345,345,0,0
38.24,-1.1486774682999,-0.791193172335625,165-345,345,0,0
38.28,-1.1843454837799,-0.803863536566496,165-345,345,0,0
38.32,-1.2287038564682,-0.81996712833643,165-345,345,0,0
38.36,-1.2725096940994,-0.831157900393009,165-345,345,0,0
38.4,-1.3152855634689,-0.842906255275011,165-345,345,0,0
38.44,-1.3582170009613,-0.856111012399197,165-345,345,0,0
38.48,-1.4062929153442,-0.871406309306622,165-345,345,0,0
38.52,-1.4351910352707,-0.876024458557367,165-345,345,0,0
38.56,-1.4848601818085,-0.893530808389187,165-345,345,0,0
38.6,-1.5341967344284,-0.909012742340565,165-345,345,0,0
38.64,-1.5727990865707,-0.9170844219625,165-345,345,0,0
38.68,-1.6062140464783,-0.924775749444962,165-345,345,0,0
38.72,-1.6559529304504,-0.949456449598074,165-345,345,0,0
38.76,-1.7024785280228,-0.962848775088787,165-345,345,0,0
38.8,-1.7432856559753,-0.974890775978565,165-345,345,0,0
38.84,-1.7822366952896,-0.988087151199579,165-345,345,0,0
38.88,-1.826981306076,-1.00344838574529,165-345,345,0,0
38.92,-1.8674075603485,-1.01466365158558,165-345,345,0,0
38.96,-1.9115835428238,-1.02979438379407,165-345,345,0,0
39,-1.9588816165924,-1.0497516952455,165-345,345,0,0
39.04,-2.0039105415344,-1.06484927237034,165-345,345,0,0
39.08,-2.0448249578476,-1.07745975255966,165-345,345,0,0
39.12,-2.0898699760437,-1.09252752736211,165-345,345,0,0
39.16,-2.128643989563,-1.10348239541054,165-345,345,0,0
39.2,-2.1698266267776,-1.11943772062659,165-345,345,0,0
39.24,-2.220869064331,-1.13543877378106,165-345,345,0,0
39.28,-2.2633391618728,-1.14968298003078,165-345,345,0,0
39.32,-2.3092639446258,-1.16784777492285,165-345,345,0,0
39.36,-2.3488748073578,-1.17675205692649,165-345,345,0,0
39.4,-2.3885607719421,-1.19108268991113,165-345,345,0,0
39.44,-2.4230647087097,-1.19803315028548,165-345,345,0,0
39.48,-2.4727177619934,-1.22296046465635,165-345,345,0,0
39.52,-2.5217539072037,-1.23809464275837,165-345,345,0,0
39.56,-2.5580817461014,-1.25055052340031,165-345,345,0,0
39.6,-2.5982129573822,-1.26430941745639,165-345,345,0,0
39.64,-2.6422870159149,-1.28112956881523,165-345,345,0,0
39.68,-2.6770162582397,-1.29427369683981,165-345,345,0,0
39.72,-2.7320230007171,-1.31596047431231,165-345,345,0,0
39.76,-2.7761024236679,-1.32858604192734,165-345,345,0,0
39.8,-2.8241246938705,-1.34807052090764,165-345,345,0,0
39.84,-2.8701782226562,-1.35706206783652,165-345,345,0,0
39.88,-2.9141181707382,-1.37755582109094,165-345,345,0,0
39.92,-2.9633688926697,-1.39542138203979,165-345,345,0,0
39.96,-3.0036985874176,-1.4062337577343,165-345,345,0,0
40,-3.041056394577,-1.4154757373035,165-345,345,0,0
40.04,-3.0869328975677,-1.43362302333117,165-345,345,0,0
40.08,-3.1340056657791,-1.44891142845154,165-345,345,0,0
40.12,-3.1702047586441,-1.45661253482103,165-345,345,0,0
40.16,-3.2223844528198,-1.47678628563881,165-345,345,0,0
40.2,-3.2646828889847,-1.48833431303501,165-345,345,0,0
40.24,-3.3035212755203,-1.50407729670405,165-345,345,0,0
40.28,-3.3437222242355,-1.51553945615888,165-345,345,0,0
40.32,-3.3855271339416,-1.53449941426516,165-345,345,0,0
40.36,-3.4307599067688,-1.54798962175846,165-345,345,0,0
40.4,-3.4692442417145,-1.56002342700958,165-345,345,0,0
40.44,-3.5065376758575,-1.5748294070363,165-345,345,0,0
40.48,-3.5470551252365,-1.5899034217,165-345,345,0,0
40.52,-3.5888010263443,-1.59579645842314,165-345,345,0,0
40.56,-3.6264270544052,-1.61067936569452,165-345,345,0,0
40.6,-3.6595469713211,-1.61817986518145,165-345,345,0,0
40.64,-3.7017595767975,-1.63485314697027,165-345,345,0,0
40.68,-3.7454044818878,-1.65036711841822,165-345,345,0,0
40.72,-3.7830144166946,-1.66224893182516,165-345,345,0,0
40.76,-3.8207101821899,-1.67790409177542,165-345,345,0,0
40.8,-3.8697999715805,-1.6976373270154,165-345,345,0,0
40.84,-3.9094537496567,-1.71717964112759,165-345,345,0,0
40.88,-3.9518165588379,-1.72888059169054,165-345,345,0,0
40.92,-3.9887452125549,-1.73875037580729,165-345,345,0,0
40.96,-4.0355336666107,-1.75560582429171,165-345,345,0,0
41,-4.0794950723648,-1.77168734371662,165-345,345,0,0
41.04,-4.1161823272705,-1.78270265460014,165-345,345,0,0
41.08,-4.1594141721725,-1.79036688059568,165-345,345,0,0
41.12,-4.1944169998169,-1.79668571799994,165-345,345,0,0
41.16,-4.2344355583191,-1.81788392364979,165-345,345,0,0
41.2,-4.2854082584381,-1.8360061571002,165-345,345,0,0
41.24,-4.3311560153961,-1.85006186366081,165-345,345,0,0
41.28,-4.3688464164734,-1.86021570116282,165-345,345,0,0
41.32,-4.406241774559,-1.87433958053589,165-345,345,0,0
41.36,-4.4439911842346,-1.88287179917097,165-345,345,0,0
41.4,-4.4808876514435,-1.893475279212,165-345,345,0,0
41.44,-4.5208525657654,-1.91012732684612,165-345,345,0,0
41.48,-4.5702159404754,-1.93282179534435,165-345,345,0,0
41.52,-4.615169763565,-1.95154324173927,165-345,345,0,0
41.56,-4.6500116586685,-1.9603131338954,165-345,345,0,0
41.6,-4.688994884491,-1.97476670145988,165-345,345,0,0
41.64,-4.7356814146042,-1.99720449745655,165-345,345,0,0
41.68,-4.77310359478,-2.00938619673252,165-345,345,0,0
41.72,-4.8058104515076,-2.019920386374,165-345,345,0,0
41.76,-4.8475778102875,-2.03724019229412,165-345,345,0,0
41.8,-4.8848873376846,-2.05548666417599,165-345,345,0,0
41.84,-4.9275076389313,-2.07071956247091,165-345,345,0,0
41.88,-4.9627947807312,-2.07755453884602,165-345,345,0,0
41.92,-5.0018692016601,-2.09123231470585,165-345,345,0,0
41.96,-5.0442212820053,-2.11348664015532,165-345,345,0,0
42,-5.0790417194366,-2.12445259094238,165-345,345,0,0
42.04,-5.1173275709152,-2.14455891400576,165-345,345,0,0
42.08,-5.1624476909637,-2.16542594134808,165-345,345,0,0
42.12,-5.2000522613525,-2.17220541089773,165-345,345,0,0
42.16,-5.2422112226486,-2.19503063708544,165-345,345,0,0
42.2,-5.2787214517593,-2.20837909728289,165-345,345,0,0
42.24,-5.3202205896377,-2.22532041370869,165-345,345,0,0
42.28,-5.3628140687942,-2.2421695291996,165-345,345,0,0
42.32,-5.401496887207,-2.25714184343815,165-345,345,0,0
42.36,-5.4356521368027,-2.27067749947309,165-345,345,0,0
42.4,-5.4770761728287,-2.28668414056301,165-345,345,0,0
42.44,-5.5107432603836,-2.30226833373308,165-345,345,0,0
42.48,-5.5569040775299,-2.32276432216167,165-345,345,0,0
42.52,-5.5953294038772,-2.33609694987535,165-345,345,0,0
42.56,-5.6324404478073,-2.35130041837692,165-345,345,0,0
42.6,-5.6728667020798,-2.36898828297853,165-345,345,0,0
42.64,-5.7158035039902,-2.38857511430979,165-345,345,0,0
42.68,-5.7565838098526,-2.40307115018368,165-345,345,0,0
42.72,-5.7973104715347,-2.41935923695564,165-345,345,0,0
42.76,-5.8372861146927,-2.43617240339518,165-345,345,0,0
42.8,-5.8824008703232,-2.45806984603405,165-345,345,0,0
42.84,-5.921266078949,-2.47160922735929,165-345,345,0,0
42.88,-5.9625774621963,-2.48661674559116,165-345,345,0,0
42.92,-6.0003107786178,-2.50056739896536,165-345,345,0,0
42.96,-6.0384786128998,-2.51194760203362,165-345,345,0,0
43,-6.0738033056259,-2.53691039979458,165-345,345,0,0
43.04,-6.1165630817413,-2.55383290350437,165-345,345,0,0
43.08,-6.1610072851181,-2.56917309015989,165-345,345,0,0
43.12,-6.1993950605392,-2.58690286427736,165-345,345,0,0
43.16,-6.2400037050247,-2.60352808982134,165-345,345,0,0
43.2,-6.2773990631103,-2.61860881000757,165-345,345,0,0
43.24,-6.319305896759,-2.64307856559753,165-345,345,0,0
43.28,-6.359651684761,-2.66193002462387,165-345,345,0,0
43.32,-6.4039725065231,-2.67786234617233,165-345,345,0,0
43.36,-6.4420545101166,-2.69587803632021,165-345,345,0,0
43.4,-6.4806997776031,-2.71235946565866,165-345,345,0,0
43.44,-6.5210670232773,-2.72819343954325,165-345,345,0,0
43.48,-6.5572875738144,-2.74195708334446,165-345,345,0,0
43.52,-6.6012489795685,-2.76827495545149,165-345,345,0,0
43.56,-6.6414445638656,-2.78291739523411,165-345,345,0,0
43.6,-6.6853952407837,-2.80041750520468,165-345,345,0,0
43.64,-6.7291957139969,-2.81605925410986,165-345,345,0,0
43.68,-6.7693483829498,-2.8358556330204,165-345,345,0,0
43.72,-6.8052953481674,-2.85362228751183,165-345,345,0,0
43.76,-6.8447721004486,-2.86946874111891,165-345,345,0,0
43.8,-6.8881273269653,-2.88955438882113,165-345,345,0,0
43.84,-6.9323623180389,-2.90465485304594,165-345,345,0,0
43.88,-6.9615715742111,-2.9137397184968,165-345,345,0,0
43.92,-7.0022124052048,-2.93454769998789,165-345,345,0,0
43.96,-7.0498538017273,-2.95205786824226,165-345,345,0,0
44,-7.097709774971,-2.97707337886095,165-345,345,0,0
44.04,-7.1370524168014,-2.99111530184746,165-345,345,0,0
44.08,-7.1693676710129,-3.00602614879608,165-345,345,0,0
44.12,-7.2137850522995,-3.02752610296011,165-345,345,0,0
44.16,-7.2528433799744,-3.04387398064137,165-345,345,0,0
